"Line","Group","Artifact","Version","Scope","URL","Licenses"
"berlin.yuna:typemap:2026.02.0330742","berlin.yuna","typemap","2026.02.0330742","compile","https://github.com/YunaBraska/typemap","Apache License 2.0"
"com.deque.html.axecore:dequeutilites:4.11.1","com.deque.html.axecore","dequeutilites","4.11.1","compile","https://github.com/dequelabs/axecore-maven-html","MPL 2.0"
"com.deque.html.axecore:playwright:4.11.1","com.deque.html.axecore","playwright","4.11.1","compile","https://github.com/dequelabs/axecore-maven-html","MPL 2.0"
"com.fasterxml.jackson.core:jacksonannotations:2.20","com.fasterxml.jackson.core","jacksonannotations","2.20","compile","https://github.com/FasterXML/jackson","Apache License 2.0"
"com.fasterxml.jackson.core:jacksoncore:2.20.1","com.fasterxml.jackson.core","jacksoncore","2.20.1","compile","https://github.com/FasterXML/jacksoncore","Apache License 2.0"
"com.fasterxml.jackson.core:jacksondatabind:2.20.1","com.fasterxml.jackson.core","jacksondatabind","2.20.1","compile","https://github.com/FasterXML/jackson","Apache License 2.0"
"com.google.code.gson:gson:2.13.2","com.google.code.gson","gson","2.13.2","compile","https://github.com/google/gson","Apache 2.0"
"com.google.errorprone:error_prone_annotations:2.41.0","com.google.errorprone","error_prone_annotations","2.41.0","compile","https://errorprone.info/error_prone_annotations","Apache 2.0"
"com.microsoft.playwright:driver:1.56.0","com.microsoft.playwright","driver","1.56.0","compile","https://github.com/microsoft/playwrightjava/driver","Apache License 2.0"
"com.microsoft.playwright:driverbundle:1.56.0","com.microsoft.playwright","driverbundle","1.56.0","compile","https://github.com/microsoft/playwrightjava/driver-bundle","Apache License 2.0"
"com.microsoft.playwright:playwright:1.56.0","com.microsoft.playwright","playwright","1.56.0","compile","https://github.com/microsoft/playwrightjava/playwright","Apache License 2.0"
"commonscodec:commons-codec:1.20.0","commonscodec","commonscodec","1.20.0","compile","https://commons.apache.org/proper/commonscodec/","Apache 2.0"
"commonsio:commons-io:2.21.0","commonsio","commonsio","2.21.0","compile","https://commons.apache.org/proper/commonsio/","Apache 2.0"
"org.apache.commons:commonscompress:1.28.0","org.apache.commons","commonscompress","1.28.0","compile","https://commons.apache.org/proper/commonscompress/","Apache 2.0"
"org.apache.commons:commonslang3:3.18.0","org.apache.commons","commonslang3","3.18.0","compile","https://commons.apache.org/proper/commonslang/","Apache 2.0"
"org.jsoup:jsoup:1.22.1","org.jsoup","jsoup","1.22.1","compile","https://jsoup.org/","MIT 1"
"org.opentest4j:opentest4j:1.3.0","org.opentest4j","opentest4j","1.3.0","compile","https://github.com/ota4jteam/opentest4j","Apache License 2.0"
